title,anime_id
Araburu Kisetsu no Otome-domo yo.,38753
Gakkougurashi!,24765
Mahou Sensei Negima!,157
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",47790
Nanatsu no Taizai: Imashime no Fukkatsu,34577
Jujutsu Kaisen (TV),40748
Non Non Biyori Repeat,23623
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,18677
Kaze no Stigma,1691
Haikyuu!! To the Top,38883
Rokudenashi Majutsu Koushi to Akashic Records,32951
Maoujou de Oyasumi,40397
Diamond no Ace: Second Season,30230
Kobato.,5678
Sakura Trick,20047
K,14467
Horimiya,42897
Aoharu x Kikanjuu,30205
Mousou Dairinin,323
Love Stage!!,21105
Durarara!!,6746
One Punch Man 2nd Season,34134
High School DxD,11617
Super Lovers,31680
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",19221
Bleach,269
Gakkou no Kaidan,1281
Freezing,9367
Violet Evergarden,33352
Free!,18507
Hataraku Maou-sama!,15809
Working'!!,10521
Working!!!,25879
Kakushigoto (TV),40716
High Score Girl II,39570
Sora yori mo Tooi Basho,35839
Dr. Stone: Stone Wars,40852
Gintama.: Porori-hen,35843
Kamigami no Asobi,21563
Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?,33502
Yamada-kun to 7-nin no Majo (TV),28677
Samurai 7,166
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,29067
Shadows House,43439
Shokugeki no Souma: Shin no Sara,39940
Fate/kaleid liner Prisma☆Illya 2wei!,20509
Aldnoah.Zero,22729
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,38555
Danna ga Nani wo Itteiru ka Wakaranai Ken,26349
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),35507
Koutetsujou no Kabaneri,28623
Yuri!!! on Ice,32995
Bishoujo Senshi Sailor Moon S,532
Mahou Shoujo Ikusei Keikaku,33003
Ore wo Suki nano wa Omae dake ka yo,38483
Goblin Slayer,37349
"Inari, Konkon, Koi Iroha.",20457
Hikaru no Go,135
Munou na Nana,41619
Boku wa Tomodachi ga Sukunai,10719
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,37210
Days (TV),32494
Hanebado!,37259
D.N.Angel,61
Macross F,3572
Omamori Himari,6324
Kiznaiver,31798
Ping Pong the Animation,22135
Love Live! School Idol Project,15051
Chuunibyou demo Koi ga Shitai! Ren,18671
Kono Oto Tomare! 2nd Season,38889
Kimi ni Todoke 2nd Season,9656
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,16592
Shingeki no Kyojin: The Final Season Part 2,48583
Kono Oto Tomare!,38080
Shakugan no Shana II (Second),2787
Umineko no Naku Koro ni,4896
xxxHOLiC: Kei,3091
Full Metal Panic! The Second Raid,73
Tsubasa Chronicle 2nd Season,969
Magi: The Kingdom of Magic,18115
Zero no Tsukaima: Princesses no Rondo,3712
Gintama.: Shirogane no Tamashii-hen,36838
Jigoku Shoujo Futakomori,1594
Gravitation,243
Btooom!,14345
Somali to Mori no Kamisama,39575
Princess Principal,35240
Sekirei: Pure Engagement,5277
Deatte 5-byou de Battle,43814
WWW.Working!!,33094
Servant x Service,18119
Tsuritama,12883
Sakamoto Desu ga?,32542
Yuukoku no Moriarty 2nd Season,43325
Bishoujo Senshi Sailor Moon R,740
ACCA: 13-ku Kansatsu-ka,33337
Bakuman.,7674
Sekaiichi Hatsukoi 2,11123
Girls & Panzer,14131
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,32887
Arakawa Under the Bridge x Bridge,9074
Mobile Suit Gundam 00 Second Season,3927
Handa-kun,32648
Genjitsu Shugi Yuusha no Oukoku Saikenki,41710
Given,39533
Tonari no Kaibutsu-kun,14227
Fate/Apocrypha,34662
Gintama': Enchousen,15417
Mairimashita! Iruma-kun 2nd Season,41402
Seirei no Moribito,1827
Carole & Tuesday,37435
Soul Eater,3588
Yowamushi Pedal,18179
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,36949
Joukamachi no Dandelion,28387
Koi to Senkyo to Chocolate,12175
Densetsu no Yuusha no Densetsu,8086
Tales of Zestiria the Cross,30911
Date A Live,15583
Fruits Basket: The Final,42938
Tonari no Seki-kun,18139
To LOVE-Ru Darkness 2nd,28979
Hitsugi no Chaika,20853
Monster,19
Yuukoku no Moriarty,40911
Wotaku ni Koi wa Muzukashii,35968
Shugo Chara!,2923
Junjou Romantica 2,4814
Chobits,59
Gakusen Toshi Asterisk 2nd Season,31737
Oushitsu Kyoushi Heine,34262
Kamisama Hajimemashita,14713
Acchi Kocchi,12291
Zombie-Loan,2404
JoJo no Kimyou na Bouken (TV),14719
New Game!!,34914
Mekakucity Actors,21603
Sora no Otoshimono,5958
Akagami no Shirayuki-hime 2nd Season,31173
Kannagi,3958
Nekomonogatari: Kuro,15689
Dragon Ball Super,30694
Jormungand: Perfect Order,13331
Kuragehime,8129
Minami-ke,2963
Free! Dive to the Future,36704
Gosick,8425
Yu☆Gi☆Oh!,550
91 Days,32998
Murenase! Seton Gakuen,40483
Magi: The Labyrinth of Magic,14513
Pandora Hearts,5530
Beastars,39195
Clannad,2167
Shingeki no Kyojin,16498
Phantom: Requiem for the Phantom,5682
Mobile Suit Gundam SEED,93
Zombieland Saga,37976
Rainbow: Nisha Rokubou no Shichinin,6114
Nisekoi:,27787
Eyeshield 21,15
Sakamichi no Apollon,12531
Rokka no Yuusha,28497
Tokyo Ghoul √A,27899
Karakai Jouzu no Takagi-san,35860
BNA,40060
Digimon Adventure,552
Jaku-Chara Tomozaki-kun,40530
Fruits Basket 1st Season,38680
God Eater,27631
Shingeki no Kyojin Season 3,35760
Fairy Tail (2014),22043
Gakuen Babysitters,35222
NHK ni Youkoso!,1210
Dragon Ball Kai (2014),22777
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,39547
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,30187
Itsudatte Bokura no Koi wa 10 cm Datta.,36220
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,39468
Log Horizon: Entaku Houkai,41109
Karneval (TV),16035
Yuragi-sou no Yuuna-san,36726
Haikyuu!! To the Top 2nd Season,40776
Drifters,31339
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,14749
Poputepipikku,35330
Clannad: After Story,4181
Gugure! Kokkuri-san,23251
One Outs,5040
Denpa Onna to Seishun Otoko,9379
Chihayafuru 2,14397
Grand Blue,37105
Fate/Zero 2nd Season,11741
Digimon Tamers,874
Kanon (2006),1530
Accel World,11759
Seijo no Maryoku wa Bannou Desu,42826
Jinrui wa Suitai Shimashita,10357
Golden Kamuy,36028
Genshiken,240
Flying Witch,31376
Mashiro-iro Symphony: The Color of Lovers,10397
Myself; Yourself,2926
Baka to Test to Shoukanjuu,6347
Ajin,31580
Tokyo Ghoul,22319
Diamond no Ace,18689
Dorohedoro,38668
.hack//Sign,48
Yu☆Gi☆Oh!: Duel Monsters GX,482
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,37347
Gin no Saji,16918
Ansatsu Kyoushitsu 2nd Season,30654
Hunter x Hunter,136
Kore wa Zombie Desu ka?,8841
Hibike! Euphonium 2,31988
Hitoribocchi no Marumaru Seikatsu,37614
Katekyo Hitman Reborn!,1604
Trinity Seven,25157
Deadman Wonderland,6880
Sukitte Ii na yo.,14289
Uchuu Patrol Luluco,32681
Amaama to Inazuma,32828
Toaru Majutsu no Index II,8937
Yesterday wo Utatte,39710
Re:Creators,34561
Utawarerumono,856
Tsuki ga Michibiku Isekai Douchuu,43523
Owarimonogatari,31181
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,40591
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,42282
Witch Craft Works,21085
Kenpuu Denki Berserk,33
Shinsekai yori,13125
Toradora!,4224
Akagami no Shirayuki-hime,30123
Date A Live II,19163
Little Busters!: Refrain,18195
Hajime no Ippo: Rising,19647
Bakuman. 2nd Season,10030
Azumanga Daioh,66
Kokoro Connect,11887
Hige wo Soru. Soshite Joshikousei wo Hirou.,40938
Full Metal Panic? Fumoffu,72
Ushio to Tora (TV),29854
Little Busters!,13655
Mayo Chiki!,10110
Usagi Drop,10162
Kaichou wa Maid-sama!,7054
Shoujo Shuumatsu Ryokou,35838
Hitsugi no Chaika: Avenging Battle,24231
Kamisama Hajimemashita◎,25681
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,20899
Initial D Final Stage,22507
Sewayaki Kitsune no Senko-san,38759
Jibaku Shounen Hanako-kun,39534
Plastic Memories,27775
Kono Subarashii Sekai ni Shukufuku wo! 2,32937
Strike the Blood,18277
One Punch Man,30276
Motto To LOVE-Ru,9181
Robotics;Notes,13599
Gokukoku no Brynhildr,21431
Gyakkyou Burai Kaiji: Hakairoku-hen,10271
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,28121
Nanatsu no Taizai,23755
Flip Flappers,32979
Haibane Renmei,387
86,41457
Bungou Stray Dogs,31478
Rosario to Vampire,2993
Boku no Hero Academia 2nd Season,33486
Nodame Cantabile,1698
Medaka Box Abnormal,14527
Kobayashi-san Chi no Maid Dragon,33206
Himouto! Umaru-chan,28825
Naruto,20
Tales of Zestiria the Cross 2nd Season,34086
Natsume Yuujinchou Roku,34591
Nourin,18095
Higurashi no Naku Koro ni Gou,41006
Nurarihyon no Mago,7592
Medaka Box,11761
Mobile Suit Gundam Wing,90
Ouran Koukou Host Club,853
Nanatsu no Taizai: Seisen no Shirushi,31722
Seto no Hanayome,2104
Gleipnir,39463
Planetes,329
Id:Invaded,40046
Princess Tutu,721
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",40586
Mnemosyne: Mnemosyne no Musume-tachi,3342
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",28907
The God of High School,41353
Mobile Suit Gundam 00,2581
Meikyuu Black Company,42340
Kaze ga Tsuyoku Fuiteiru,37965
Kono Subarashii Sekai ni Shukufuku wo!,30831
Kino no Tabi: The Beautiful World - The Animated Series,35079
Dagashi Kashi 2,36049
Junjou Romantica 3,25649
Yuru Yuri♪♪,12403
Occultic;Nine,32962
Fate/kaleid liner Prisma☆Illya,14829
Imouto sae Ireba Ii.,35413
Hagure Yuusha no Aesthetica,13161
Seitokai Yakuindomo*,20847
Kemono Jihen,40908
Just Because!,35639
Enen no Shouboutai,38671
Gintama.,34096
Black Clover,34572
ef: A Tale of Melodies.,4789
GJ-bu,14811
Kill la Kill,18679
Hitorijime My Hero,33654
3D Kanojo: Real Girl,36793
Durarara!!x2 Ten,27831
Yagate Kimi ni Naru,37786
Katanagatari,6594
Sekaiichi Hatsukoi,9926
Ookami to Koushinryou II,5341
Tensei shitara Slime Datta Ken 2nd Season Part 2,41487
Saiki Kusuo no Ψ-nan,33255
Noragami,20507
Binbougami ga!,13535
Kino no Tabi: The Beautiful World,486
Higurashi no Naku Koro ni Kai,1889
Kuroshitsuji II,6707
SKET Dance,9863
Tsuki ga Kirei,34822
Arakawa Under the Bridge,7647
K-On!,5680
Gintama°,28977
Tada-kun wa Koi wo Shinai,36470
Koukyoushihen Eureka Seven,237
Sankarea,11499
Sono Bisque Doll wa Koi wo Suru,48736
Darling in the FranXX,35849
Amagami SS+ Plus,11235
Isekai Shokudou,34012
Kami-tachi ni Hirowareta Otoko,41312
Love Live! School Idol Project 2nd Season,19111
Aku no Hana,16201
Karakai Jouzu no Takagi-san 2,38993
Mobile Suit Gundam: Iron-Blooded Orphans,31251
Psycho-Pass 3,39491
Kore wa Zombie Desu ka? of the Dead,10790
Gankutsuou,239
Keijo!!!!!!!!,32686
Princess Connect! Re:Dive,39292
Code Geass: Hangyaku no Lelouch,1575
Toaru Kagaku no Accelerator,38480
Overlord III,37675
Shuffle!,79
Isekai Quartet 2,39988
Kami nomi zo Shiru Sekai II,10080
Tsukimonogatari,28025
Nagi no Asu kara,16067
Kyokou Suiri,39017
Kuroko no Basket 2nd Season,16894
Dr. Stone,38691
Mob Psycho 100 II,37510
Rakudai Kishi no Cavalry,30296
Shingeki no Kyojin Season 2,25777
Keppeki Danshi! Aoyama-kun,34825
Love Lab,16353
Junketsu no Maria,26441
Freezing Vibration,18001
Nisekoi,18897
Sword Art Online: Alicization - War of Underworld 2nd Season,40540
Nogizaka Haruka no Himitsu,3467
Zoku Natsume Yuujinchou,5300
Ranma ½,210
Jitsu wa Watashi wa,29785
"Komi-san wa, Comyushou desu.",48926
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,32189
Natsume Yuujinchou Go,32983
Hinamatsuri (TV),36296
Zetsuen no Tempest,14075
Toaru Majutsu no Index,4654
Shinryaku! Ika Musume,8557
Sengoku Basara,5355
Majo no Tabitabi,40571
Kuroko no Basket 3rd Season,24415
Blood+,150
Hanasaku Iroha,9289
Kimi to Boku.,10460
Rokujouma no Shinryakusha!? (TV),22865
